AUTHOR,TITLE,YEAR,SOURCE,DIVISION,PUB_TYPE,KEYWORDS,LINK
"Merritt D, Donovan MK, Kelley C, Waterhouse L, Parke M, Wong K, Drazen JC",BotCam: a baited camera system for nonextractive monitoring of bottomfish species,2011,Fishery Bulletin 109: 56-67,CRED,Journal,,
"Rivera MAJ, Andrews KR, Kobayashi DR, Wren JLK, Kelley C, Roderick GK, Toonen RJ",Genetic analyses and simulations of larval dispersal reveal distinct populations and directional connectivity across the range of the Hawaiian grouper (Epinephelus quernus),2011,"Journal of Marine Biology Volume 2011, Article ID 765353, 11 p. doi:10.1155/2011/765353",EOD,Journal,,https://doi.org/10.1155/2011/765353
"Brodziak J, Ishimura G",Development of Bayesian production models for assessing the North Pacific swordfish population,2011,Fisheries Science 77: 23-34,FBSAB,Journal,,
"Forney KA, Kobayashi DR, Johnston DW, Marchetti JA, Marsik MG",What's the catch? Patterns of cetacean bycatch and depredation in Hawaii-based pelagic longline fisheries,2011,Marine Ecology 32(3): 380-391. doi:10.1111/j.1439-0485.2011.00454.x,EOD,Journal,,https://doi.org/10.1111/j.1439-0485.2011.00454.x
"Aeby GS, Williams GJ, Franklin EC, Kenyon J, Cox EF, Coles S, Work TM",Patterns of coral disease across the Hawaiian Archipelago: relating disease to environment,2011,PLoS ONE 6(5): e20370. doi:10.1371/journal.pone.0020370,CRED,Journal,,https://doi.org/10.1371/journal.pone.0020370
Cahoon MK,The foraging ecology of monk seals in the main Hawaiian Islands,2011,"Thesis (M.S.). Dept. of Human Nutrition, Food and Animal Sciences, University of Hawaiii, Honolulu, Hawaii.",PSD,Thesis,,
"Armstrong K, Herdrich D, Levine A",Historic fishing methods in American Samoa,2011,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-24, 70 p",SE,Tech Memo,"Pacific islands, community, tradition, marine management, human dimensions",
"Berkson J, Barbieri L, Cadrin S, Cass-Calay S, Crone P, Dorn M, FRiess C, Kobayashi D, Miller TJ, Patrick WS, Pautzke S, Ralston S, Trianni M",Calculating acceptable biological catch for stocks that have reliable catch data only (Only Reliable Catch Stocks - ORCS),2011,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-SEFSC-616, 44 p",EOD,Tech Memo,,
"Snover ML, Hohn AA, Goshe LR, Balazs GH",Validation of annual skeletal marks in green sea turtles Chelonia mydas using tetracycline labeling,2011,Aquatic Biology 12: 197-204. doi:10.3354/ab00337,PSD,Journal,"Fluorescent marks, skeletochronology, age, growth marks",https://doi.org/10.3354/ab00337
Fisheries Monitoring Branch,"The Hawaii-based Longline Logbook Summary Report, January-March 2011",2011,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-11-007, 23 p",FMB,Data Report,,
Pacific Islands Fisheries Science Center,2010 Year in Review,2011,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-11-01, 16 p",,"Report, Special Publication",,
"Arita S, Pan M, Hospital J, Leung P","Contribution, linkages and impacts of the fisheries sector to Hawaii's economy: a social accounting matrix analysis",2011,"Joint Institute for Marine and Atmospheric Research, SOEST Publication 11-01, JIMAR Contribution 11-373. University of Hawaii: Honolulu, HI, 54 p",SE,Report,economics,
"Walsh WA, Clarke SC",Analyses of catch data for oceanic whitetip and silky sharks reported by fishery observers in the Hawaii-based longline fishery in 1995-2010,2011,"Pacific Islands Fisheries Science Center Administrative Report H-11-10, 43 p. + Appendices",FBSAB,Administrative Report,,
"Gobush KS, Baker JD, Gulland FMD",Effectiveness of an antihelminthic treatment in improving the body condition and survival of Hawaiian monk seals,2011,Endangered Species Research 15: 29-37. doi:10.3354/esr00364,PSD,Journal,,https://doi.org/10.3354/esr00364
Fisheries Research and Monitoring Division,"PIFSC Report on the Logbook Program for the American Samoa Longline Fishery, April-June 2011",2011,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-11-011, 12 p",FMB,Data Report,,
Hospital J,New NOAA study to value recreational fishing in Hawaii,2011,Lawai'a 7: 50-51,SE,Journal,economics,
"Andrews AH, Natanson LJ, Kerr LA, Burgess GH, Cailliet GM",Bomb radiocarbon and tag-recapture dating of sandbar shark (Carcharhinus plumbeus),2011,Fishery Bulletin 109: 454-465,FBSAB,Journal,,
"Plaisance L, Brainard R, Caley MJ, Knowlton N",Using DNA barcoding and standardized sampling to compare geographic and habitat differentiation of crustaceans: A Hawaiian Islands example,2011,Diversity 4: 581-591,CRED,Journal,,
"Andrews AH, Kalish JM, Newman SJ, Johnston JM",Bomb radiocarbon dating of three important reef-fish species using Indo-Pacific carbon-14 chronologies,2011,Marine and Freshwater Research 62(11): 1259-1269. doi:10.1071/MF11080,FBSAB,Journal,,
"Wei-Chuan C, Musyl MK, Sun CL, Chen SY, Chen WY, Liu DC, Su WC, Yeh SZ, Fu SC, Huang TL",Vertical and horizontal movements of sailfish (Istiophorus platypterus) near Taiwan determined using pop-up satellite tags,2011,Journal of Experimental Marine Biology and Ecology 397: 129-135. doi:10.1016/j.jembe.2010.11.018,FBSAB,Journal,,
"Musyl MK, Domeier ML, Nasby-Lucas N, Brill RW, McNaughton, Swimmer JY, Lutcavage MS, Wilson SG, Galuardi B, Liddle JB",Performance of pop-up satellite archival tags,2011,Marine Ecology Progress Series 433: 1-28. doi:10.3354/meps09202,FBSAB,Journal,,
"Musyl MK, Brill RW, Curran DS, Fragoso NM, McNaughton LM, Nielsen A, Kikkawa BS, Moyes CD","Postrelease survival, vertical and horizontal movements, and thermal habitats of five species of pelagic sharks in the central Pacific Ocean",2011,Fishery Bulletin 109(4): 341-368,FBSAB,Journal,,
"Lowry LF, Laist DW, Gilmartin WG, Antonelis GA","Recovery of the Hawaiian monk seal (Monachus schauinslandi): A review of conservation efforts, 1972 to 2010, and thoughts for the future",2011,Aquatic Mammals 37(3): 397-419. doi:10.1578/AM.37.3.2011.397,PSD,Journal,,https://doi.org/10.1578/am.37.3.2011.397
"Norris TA, Littnan CL, Gulland FMD",Evaluation of the captive care and post-release behavior and survival of seven juvenile female Hawaiian monk seals (Monachus schauinslandi),2011,Aquatic Mammals 37(3): 342-353. doi:10.1578/AM.37.3.2011.342,PSD,Journal,,https://doi.org/10.1578/am.37.3.2011.342
"Schofield TD, Levine G, Gulland FMD, Littnan CL, Colitz CMH",Short Note: The first successful hand-rearing of a neonate Hawaiian monk seal (Monachus schauinslandi) and post-release management challenges,2011,Aquatic Mammals 37(3): 354-359. doi:10.1578/AM.37.3.2011.354,PSD,Journal,,https://doi.org/10.1578/am.37.3.2011.354
"Gilmartin WG, Johanos TC, DeMaster DP, Henderson JR",Short Note:  Hawaiian monk seals at Kure Atoll: Some life history effects following efforts to enhance pup survival,2011,Aquatic Mammals 37(3): 326-331. doi:10.1578/AM.37.3.2011.326,PSD,Journal,,https://doi.org/10.1578/am.37.3.2011.326
"Gilmartin W, Sloan AC, Harting AL, Johanos TC, Baker JD, Breese M, Ragen TJ",Rehabilitation and relocation of young Hawaiian monk seals (Monachus schauinslandi),2011,Aquatic Mammals 37(3): 332-341. doi:10.1578/AM.37.3.2011.332,PSD,Journal,,https://doi.org/10.1578/am.37.3.2011.332
"Brown E, Hughes G, Watanuki R, Johanos T, Wurth T","The emergence of an important Hawaiian monk seal (Monachus schauinslandi) pupping area at Kalaupapa, Moloka'i in the main Hawaiian Islands",2011,Aquatic Mammals 37(3): 319-325. doi:10.1578/AM.37.3.2011.319,PSD,Journal,,https://doi.org/10.1578/am.37.3.2011.319
MCCracken M,"Oceanic whitetip sharks caught, kept and released (bycatch) in the Hawaii deep-set longline fishery",2011,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-11-023, 1 p",FBSAB,Internal Report,,
McCracken M,Hawaii longline fishery seabird bycatch within the IATTC and WCPFC convention areas,2011,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-11-022, 1 p",FBSAB,Internal Report,,
Wurth T,"Hawaiian monk seal use of Pacific Missile Range Facility, Barking Sands",2011,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-11-021, 2 p",PSD,Internal Report,,
"Swimmer Y, Suter J, Arauz R, Bigelow K, Lopez A, Zanela I, Bolanos A, Ballestero J, Suarez R, Wang J, Boggs C",Sustainable fishing gear:  the case of modified circle hooks in a Costa Rican longline fishery,2011,Marine Biology 158: 757-767. doi:10.1007/s00227-010-1604-4,FBSAB,Journal,Marine Biology,https://doi.org/10.1007/s00227-010-1604-4
"Van Houtan KS, Halley JM",Long-term climate forcing in loggerhead sea turtle nesting,2011,PLoS ONE 6(4): e19043. doi:10.1371/journal.pone.0019043,PSD,Journal,"MTRP, turtle",https://doi.org/10.1371/journal.pone.0019043
"Schultz JK, Becker BL, Johanos TC, Lopez JU, Kashinsky L",Dizygotic twinning in the Hawaiian monk seal,2011,Journal of Mammalogy 92(2): 336-341. doi:10.1644/10-MAMM-A-275.1,PSD,Journal,,https://doi.org/10.1644/10-mamm-a-275.1
"Curran D, Bigelow K",Effects of circle hooks on pelagic catches in the Hawaii-based tuna longline fishery,2011,Fisheries Research 109(2-3): 265-275. doi:10.1016/j.fishres.2011.02.013,FBSAB,Journal,,
"Mora C, et al.",Global human footprint on the linkage between biodiversity and ecosystem functioning in reef fishes,2011,PLoS Biology 9(4): e1000606. doi:10.1371/journal.pbio.1000606,FBSAB,Journal,demartini,
"Hospital J, Scholey Bruce S, Pan M",Economic and social characteristics of the Hawaii small boat pelagic fishery,2011,"Pacific Islands Fisheries Science Center Administrative Report H-11-01, 47 p. + Appendices",SE,Administrative Report,economics,
"Hoeke RK, Jokiel PL, Buddemeier RW, Brainard RE",Projected changes to growth and mortality of Hawaiian corals over the next 100 years,2011,PLoSONE 6(3): e18038. doi:10.1371/journal.pone.0018038,CRED,Journal,,https://doi.org/10.1371/journal.pone.0018038
"Iverson S, Piche J, Blanchard W",Hawaiian monk seals and their prey: assessing characteristics of prey species fatty acid signatures and consequences for estimating monk seal diets using fatty acid signature analysis,2011,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-PIFSC-23, 114 p. + appendices",PSD,Tech Memo,,
"Hoolihan JP, Luo J, Abascal FJ, Campana SE, De Metrio G, Dewar H, Domeier ML, Howey LA, Lutcavage ME, Musyl MK, Neilson JD, Orbesen ES, Prince ED, Rooker JR",Evaluating post-release behaviour modification in large pelagic fish deployed with pop-up satellite archival tags,2011,ICES Journal of Marine Science 68(5): 880-889. doi:10.1093/icesjms/fsr024,FBSAB,Journal,,
"Lee H-H, Maunder MN, Piner KR, Methot RD",Estimating natural mortality within a fisheries stock assessment model: An evaluation using simulation analysis based on twelve stock assessments,2011,Fisheries Research 109(1): 89-94,FBSAB,Journal,,https://doi.org/10.1016/j.fishres.2011.01.021
"Peckham SH, Maldonado",Demographic implications of alternative foraging strategies in juvenile loggerhead turtles Caretta caretta of the North Pacific Ocean,2011,Marine Ecology Progress Series 425: 269-280. doi:10.3354/meps08995,PSD,Journal,"demography, ontogeny, diet, juvenile, migration, habitat use, utilization distributions",https://doi.org/10.3354/meps08995
Wurth T,"Hawaiian monk seal use of Marine Corp Base Hawaii and Bellows Beach, Oahu",2011,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-11-020, 2 p",PSD,Internal Report,,
"Piner K, Lee H-H",Estimation of bottomfish CPUE using the delta method and HDAR logbooks 1948-2010,2011,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-11-018, 10 p",FBSAB,Internal Report,,
"Courtney D, Brodziak J",A review of unreported to reported catch ratios for bottomfish resources in the main Hawaiian Islands,2011,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-11-017, 62 p",FBSAB,Internal Report,,
"Fisheries Research and Monitoring Division, Pacific Islands Fisheries Science Center","Advice on U.S. longline bigeye tuna catch in relation to limits in effect for 2011: Report provided July 7 based on data updated through June 30, 2011",2011,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-11-016, 6 p",FMB,Internal Report,,
"National Marine Fisheries Service, National Oceanic and Atmospheric Administration","2011 Annual Report to the Western and Central Pacific Fisheries Commission, United States of America, Part 1. Information on Fisheries, Research, and Statistics (for 2010)",2011,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-11-009",FMB,Data Report,,
"Baker JD, Harting AL, Wurth TA, Johanos TC",Dramatic shifts in Hawaiian monk seal distribution predicted from divergent regional trends,2011,Marine Mammal Science 27(1): 78-93. DOI:10.1111/j.1748-7692.2010.00395.x,PSD,Journal,,https://doi.org/10.1111/j.1748-7692.2010.00395.x
"Lammers MO, Fisher-Pool PI, Au WWL, Meyer CG, Wong KB, Brainard RE",Humpback whale Megaptera novaeangliae song reveals wintering activity in the Northwestern Hawaiian Islands,2011,Marine Ecology Progress Series 423: 261-268. doi:10.3354/meps08959,CRED,Journal,,https://doi.org/10.3354/meps08959
"Fisheries Monitoring Branch, Pacific Islands Fisheries Science Center","The Hawaii-based Longline Logbook Summary Report, January-December 2010",2011,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-11-003, 14 p",FMB,Data Report,,
"Piner KR, Lee H-H, Maunder MN, Methot RD",A simulation-based method to determine model misspecification: Examples using natural mortality and population dynamics models,2011,"Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 3: 336-343. doi:10.1080/19425120.2011.611005",FBSAB,Journal,,
"Halsey LG, Jones TT, Jones DR, Liebsch N, Booth DT",Measuring energy expenditure in sub-adult and hatchling sea turtles via accelerometry,2011,PLoS ONE 6(8): e22311. doi:10.1371/journal.pone.0022311,PSD,Journal,"MTRP, turtle",https://doi.org/10.1371/journal.pone.0022311
Harting AL,"Shark Predation on Hawaiian Monk Seals Workshop Honolulu, Hawaii January 8-9, 2008",2010,"Pacific Islands Fisheries Science Center, PIFSC Administrative Report, H-10-02C, 72 p",,Administrative Report,,https://doi.org/10.25923/tats-nw81
"Meyer CG, PapastamatiouKim YP, Holland KN","A multiple instrument approach to quantifying the movement patterns and habitat use of tiger (Galeocerdo cuvier) and Galapagos sharks (Carcharhinus galapagensis) at French Frigate Shoals, Hawaii",2010,Marine Biology. 157(8):1857-1868,,Journal,,https://doi.org/10.1007/s00227-010-1457-x
"Iverson SJ, Stewart BS, Yochem PK","Report on validation and calibration of fatty acid signatures in blubber as indicators of prey in Hawaiian monk seal diet (A report submitted under Contract No. AB133F-030SE-1195, September 2003)",2010,"Pacific Islands Fisheries Science Center Administrative Report H-10-05, 19 p",PSD,Administrative Report,,
"Kenyon JC, Maragos JE, Cooper S","Characterization of coral communities at Rose Atoll, American Samoa",2010,Atoll Research Bulletin No. 586,CRED,Journal,,
"Kenyon JC, Maragos JE, Wilkinson CB",Characterization of coral communities at Kingman Reef in the remote central Pacific Ocean,2010,Atoll Research Bulletin No. 584,CRED,Journal,,
"Mundy BC, Wass R, DeMartini E, Greene B, Zgliczynski B, Schroeder RE, Musberger C","Inshore fishes of Howland Island, Baker Island, Jarvis Island, Palmyra Atoll, and Kingman Reef",2010,Atoll Research Bulletin No. 585,"FBSAB, CRED",Journal,,
"Lowe KM, Dowdell F, Quach M",Geographic information and logbook statistics for consideration with respect to amending council American Samoa longline large vessel closed areas,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-034, 17 p",FMB,Internal Report,,
"Lowe KM, Dowdell F, Quach M",Summary of logbook statistics for 2005-009 Hawaii- and American Samoa-based longline sets in identified high seas areas of the western central Pacific,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-033, 4 p",FMB,Internal Report,,
"Tao P, Hamm D",American Samoa longline data summary on hooks lost (2001 -2010),2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-032, 3 p",FMB,Internal Report,,
"Fisher-Pool P, Lammers M, Wong K","Northwestern Hawaiian Islands, French Frigate Shoals Site FFS2, ecological acoustic recorder (EAR), 6 September 2006 to 1 October 2007, Level I analysis of passive acoustics observations",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-031, 9 p",CRED,Internal Report,,
"Lowe MK, Hamm DC",2000-2009 Hawaii longline oilfish reported landings by RFMO,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-030, 2 p",FMB,Internal Report,,
"Donovan MK, Fisher-Pool P, Lammers M, Wong K","Northwestern Hawaiian Islands, passive acoustic monitoring site FFS1, French Frigate Shoals, ecological acoustic recorder (EAR), 06 September 2006 to 24 September 2007, Level 1 of analysis of passive acoustic observations",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-029, 12 p",CRED,Internal Report,,
Tong E,Hawaiian monk seal use of Kaloko-Honokohau National Historic Park,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-028, 1 p",PSD,Internal Report,,
Lowe MK,1996-2010 Reported American Samoa longline interactions with protected species,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-027, 3 p",FMB,Internal Report,,
"McCracken M, Boggs CH",Effects of increasing observer coverage on estimation of cetacean bycatch in the Hawaii deep set longline fishery,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-026, 5 p",FBSAB,Internal Report,,
Wurth T,Hawaiian monk seal use of the islands of Niihau and Lehua,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-025, 2 p",PSD,Internal Report,,
Williams I,U.S. Pacific reef fish biomass estimates based on visual survey data,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-024, 18 p",CRED,Internal Report,,
Wurth T,Hawaiian monk seal use of the Island of Kahoolawe,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-022, 2 p",PSD,Internal Report,,
Tong E,"Hawaiian monk seal use of the leeward coast of Oahu, between Kahe Point Beach Park and Maili Beach Park",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-021, 2 p",PSD,Internal Report,,
Wurth T,"Hawaiian monk seal use of the leeward coast of Oahu, between Iroquois Point and Barber's Point",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-020, 2 p",PSD,Internal Report,,
Wurth T,"Hawaiian monk seal use of Pacific Missile Range Facility, Barking Sands",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-019, 2 p",PSD,Internal Report,,
Wurth T,"Hawaiian monk seal use of the east coast of Hawaii, between Papaikou and Hakalau",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-018, 2 p",PSD,Internal Report,,
Wurth T,"Hawaiian monk seal use of the Windward Coast of Oahu, between the Mokapu Peninsula and Bellows Beach",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-017, 2 p",PSD,Internal Report,,
"Hamm DC, Tao P",Annual species landings and occurrence data for U.S. Pacific Island Areas,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-016, 3 p",FMB,Internal Report,,
Anonymous,"Advice on U.S. longline bigeye tuna catch in the western and central Pacific: Report provided June 23 based on data updated through June 18, 2010",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-015, 4 p",,Internal Report,,
Wurth T,Hawaiian monk seal use of Kaula Island,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-014, 1 p",PSD,Internal Report,,
Wurth T,Hawaiian monk seal sightings in the main Hawaiian Islands from 1980 to 1986,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-013, 1 p",PSD,Internal Report,,
"Lowe MK, Gonzales D, Dowdell F","1991-2009 Hawaii longline spearfish and sailfish landings, fishing effort and CPUE",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-012, 2 p",FMB,Internal Report,,
Pan M,Economic impacts of alternative fishing year definitions for the Hawaii longline fishery for bigeye tuna,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-011, 7 p","ESD, SOCIO",Internal Report,economics,
Johanos T,Hawaiian monk seal presence at Kure Atoll in 2007-2009,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-010, 2 p",PSD,Internal Report,,
"Lowe MK, Dowdell F",2000-2008 American Samoa longline activity fishing effort by EEZ and high seas areas,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-008, 4 p",FMB,Internal Report,,
Dowdell F,Summary of logbook statistics for 2009 Hawaii-based longline sets North and South of 23 degrees N latitude,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-007, 2 p",FMB,Internal Report,,
"McCoy K, Fisher-Pool P, Lammers M, Wong K","American Samoa, passive acoustic monitoring site NPAS1, North Tutuila Island, ecological acoustic recorder (EAR), 19 July 2006 to 29 September 2006, Level I analysis of passive acoustic observations",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-006, 11 p",CRED,Internal Report,,
"Pomeroy N, Fisher-Pool P, Lammers M, Wong K","American Samoa, passive acoustic monitoring site FBAY, Fagatele Bay, Tutuiula Island, ecological acoustic recorder (EAR), 23 February 2007 to 07 February 2008, Level I analysis of passive acoustic observations",2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-005, 11 p",CRED,Internal Report,,
Lowe MK,1996-2008 American Samoa longilne activity in the area now closed by Rose Atoll Marine National Monument,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-004, 2 p",FMB,Internal Report,,
"Lowe MK, Dowdell F, Sender K",2004-2009 Hawaii deep set swordfish kept and released summaries from longline logbook and observer data,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-003, 6 p",FMB,Internal Report,,
"Sender K, Hamm D",2004-2008 monthly catch and effort by RFMO area and deep-shallow fishery sectors of the Hawaii longline fishery,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-002, 2 p",FMB,Internal Report,,
Wurth T,Hawaiian monk seal use of Pearl Harbor and surrounding area,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-10-001, 2 p",PSD,Internal Report,,
"Piche J, Iverson SJ, Parrish FA, Dollar R",Characterization of forage fish and invertebrates in Northwestern Hawaiian Islands using fatty acid signatures: species and ecological groups,2010,Marine Ecology Progress Series 418: 1-15. doi:10.3354/meps08814. doi:10.3354/meps08814,"PSD, CRED",Journal,"fatty acids, fishes, invertebrates, diet guild, trophic relationships, ecological subsystems, hawaiian archipelago, monk seal",https://doi.org/10.3354/meps08814
Fisheries Monitoring Branch,"The Hawaii-based Longline Logbook Summary Report, July-September 2010",2010,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-10-011, 23 p",FMB,Data Report,,
"Christensen V, Beattie A, Buchanan C, Ma H, Martell SJD, Latour RJ, Preikshot D, Sigrist MB, Uphoff JH, Walters CJ, Wood RJ, Townsend H","Fisheries ecosystem model of the Chesapeake Bay: Methodology, parameterization, and model exploration",2010,"U.S. Dept. of Commerce, NOAA Technical Memorandum NOAA-TM-NMFS-F/SPO-106, 146 p",FMB,Tech Memo,,
"Tiwari M, Balazs GH, Hargrove S","Estimating carrying capacity at the green turtle nesting beach of East Island, French Frigate Shoals",2010,Marine Ecology Progress Series 419: 289-294. doi:10.3354/meps08833,PSD,Journal,"carrying capacity, green turtles, chelonia mydas, nesting, climate change, french frigate shoals, hawaii",https://doi.org/10.3354/meps08833
Pacific Islands Fisheries Science Center,Submission of 2008-2009 U.S. fishery statistics for the Western and Central Pacific Ocean to the Western and Central Pacific Fisheries Commission,2010,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-10-008, 8 p",,Data Report,,
Fisheries Monitoring Branch,"PIFSC report on the Logbook Program for the American Samoa Longline Fishery, January-March 2007",2010,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-10-010, 12 p",FMB,Data Report,,
"National Marine Fisheries Service, National Oceanic and Atmospheric Administration","2010 Annual Report to the Western and Central Pacific Fisheries Commission, United States of America, Part 1. Information on Fisheries, Research, and Statistics (for 2009)",2010,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-10-005, 35 p",,Data Report,,
"Fisheries Monitoring and Socioeconomics Division, Pacific Islands Fisheries Science Center","PIFSC Report on the American Samoa Longline Fishery, Calendar Year 2009",2010,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-10-003, 5 p",FMB,Data Report,,
Fisheries Monitoring and Socioeconomics Division,"PIFSC Report on the Logbook Program for the American Samoa Longline Fishery, October-December 2009",2010,"Pacific Islands Fisheries Science Center, PIFSC Data Report, DR-10-001, 12 p",FMB,Data Report,,
"Wabnitz CCC, Balazs G, Beavers S, Bjorndal KA, Bolten AB, Christensen V, Hargrove S, Pauly D","Ecosystem structure and processes at Kaloko Honokohau, focusing on the role of herbivores, including the green sea turtle Chelonia mydas, in reef resilience",2010,Marine Ecology Progress Series 420: 27-44. doi:10.3354/meps08846,PSD,Journal,"marine turtles, ecosystem-based management, ecopath, coral reef, herbivory, phase shift, nutrient enrichment, Kona coast, Hawaii",https://doi.org/10.3354/meps08846
"Hill MC, Oleson EM, Andrews K",New island-associated stocks for Hawaiian spinner dolphins (Stenella longirostris longirostris): rationale and new stock boundaries,2010,"Pacific Islands Fisheries Science Center Administrative Report H-10-04, 12 p",PSD,Administrative Report,,
"Eakin CM, Nim CJ, Brainard RE, Aubrecht C, Elvidge C, Gledhill DK, Muller-Karger F, Mumby PJ, Skirving WJ, Strong AE, Wang M, Weeks S, Wentz F, Ziskin D",Monitoring coral reefs from space,2010,Oceanography 23(4): 119-133,CRED,Journal,"human activities, threat, future",
"Schultz JK, Marshall AJ, Pfunder M",Genome-wide loss of diversity in the critically endangered Hawaiian monk seal,2010,Diversity 2: 863-880. doi:10.3390/d2060863,PSD,Journal,"conservation genomics, pinniped, sealing",https://doi.org/10.3390/d2060863
Vargas-Angel B,Crustose coralline algal diseases in the U.S.-Affiliated Pacific Islands,2010,Coral Reefs 29: 943-956. doi:10.1007/s00338-010-0646-x,CRED,Journal,"U.S. Pacific, crustose coralline algae, disease, CLOD, fungal disease",
Vroom PS,"""Coral Dominance"": a dangerous misnomer?",2010,"Journal of Marine Biology 2011, Article ID 161274127, 8 p. doi:10.1155/2011/164127",CRED,Journal,"climate change, ocean acidification, calcification, coral reef management",
Pacific Islands Fisheries Science Center,Coral reef ecosystems of the Mariana Archipelago: a 2003 - 2007 overview,2010,"Pacific Islands Fisheries Science Center, PIFSC Special Publication, SP-10-002, 38 p",CRED,"Report, Special Publication",,
"Tribollet AD, Schils T, Vroom PS",Spatio-temporal variability in macroalgal assemblages of American Samoa,2010,Phycologia 49(6): 574-591,CRED,Journal,"American Samoa, coral reefs, macroalgal abundance, spatio-temporal variability",
"Lowe MK, Graham C",Summary of 2008 American Samoa-based longline logbook catch and effort within Rose Atoll Marine National Monument,2010,"Pacific Islands Fisheries Science Center, PIFSC Internal Report, IR-09-025, 4 p",FMB,Internal Report,"longline fishing, longlining",
"Kenyon J, Maragos J, Fenner D",The occurrence of coral species reported as threatened in federally protected waters of the US Pacific,2010,"Journal of Marine Biology 2011, Article ID 358687, 12 p. doi:10.1155/2011/358687",CRED,Journal,,
"Poisson F, Gaertner JC, Taquet M, Durbec JP, Bigelow K","Effects of lunar cycle and fishing operations on longline-caught pelagic fish: fishing performance, capture time, and survival of fish",2010,Fishery Bulletin 108: 268-281,FBSAB,Journal,,
"Rooney J, Donham E, Montgomery A, Spalding H, Parrish F, Boland R, Fenner D, Gove J, Vetter O",Mesophotic coral ecosystems in the Hawaiian Archipelago,2010,Coral Reefs 29: 361-367. doi:10.1007/s00338-010-0596-3,CRED,Journal,"Mesophotic coral ecosystem, Main Hawaiian Islands, Hawaii, Northwestern Hawaiian Islands, Coral morphology, Coral distribution",https://doi.org/10.1007/s00338-010-0596-3
